date_time,"boston,ma_maxtempC","boston,ma_mintempC","boston,ma_totalSnow_cm","boston,ma_sunHour","boston,ma_uvIndex","boston,ma_moon_illumination","boston,ma_moonrise","boston,ma_moonset","boston,ma_sunrise","boston,ma_sunset","boston,ma_DewPointC","boston,ma_FeelsLikeC","boston,ma_HeatIndexC","boston,ma_WindChillC","boston,ma_WindGustKmph","boston,ma_cloudcover","boston,ma_humidity","boston,ma_precipMM","boston,ma_pressure","boston,ma_tempC","boston,ma_visibility","boston,ma_winddirDegree","boston,ma_windspeedKmph","boston,ma_location"
2016-01-01,5,-0,0.0,8.7,2,50,No moonrise,12:15 PM,08:13 AM,05:22 PM,-1,-2,2,-2,20,24,85,0.0,1014,5,10,260,13,"boston,ma"
2016-01-02,3,-2,0.0,8.7,2,43,12:53 AM,12:43 PM,08:13 AM,05:23 PM,-3,-3,1,-3,17,13,78,0.0,1014,3,10,259,12,"boston,ma"
2016-01-03,5,-5,0.0,8.7,2,36,01:50 AM,01:13 PM,08:13 AM,05:24 PM,-4,-2,1,-2,18,6,69,0.0,1010,5,10,250,12,"boston,ma"
2016-01-04,0,-5,1.9,5.2,2,28,02:47 AM,01:44 PM,08:13 AM,05:25 PM,-6,-8,-3,-8,29,67,77,2.4,1012,0,9,247,18,"boston,ma"
2016-01-05,-5,-13,0.0,8.7,2,21,03:45 AM,02:19 PM,08:13 AM,05:26 PM,-13,-12,-7,-12,15,4,62,0.0,1033,-5,10,308,12,"boston,ma"
2016-01-06,4,-6,0.0,8.7,2,14,04:42 AM,02:58 PM,08:13 AM,05:27 PM,-8,-4,-0,-4,15,4,58,0.0,1031,4,10,234,10,"boston,ma"
2016-01-07,4,-4,0.0,8.7,2,7,05:40 AM,03:43 PM,08:13 AM,05:28 PM,-5,-2,0,-2,11,17,69,0.0,1026,4,10,190,6,"boston,ma"
2016-01-08,3,-1,0.0,3.4,1,0,06:35 AM,04:34 PM,08:13 AM,05:29 PM,1,-0,2,-0,18,69,92,0.1,1025,3,9,44,10,"boston,ma"
2016-01-09,4,2,0.0,3.4,1,0,07:28 AM,05:31 PM,08:13 AM,05:30 PM,2,2,3,2,10,97,95,0.2,1024,4,5,123,6,"boston,ma"
2016-01-10,14,4,0.0,3.4,2,0,08:17 AM,06:33 PM,08:13 AM,05:31 PM,9,7,9,7,37,80,96,13.3,1006,14,7,135,21,"boston,ma"
