reporting_area,lat,long,geom,reporting_cluster
1,42.39020399909089,-70.9967187307273,POINT(-70.9967187307273 42.39020399909089),211
10,42.38874486606501,-71.00847405534289,POINT(-71.00847405534289 42.38874486606501),371
100,42.35789957921487,-71.05475322458682,POINT(-71.05475322458682 42.35789957921487),85
101,42.357646679987276,-71.05411256057393,POINT(-71.05411256057393 42.357646679987276),85
102,42.3564002266129,-71.06145962225473,POINT(-71.06145962225473 42.3564002266129),165
103,42.356928032902985,-71.05999660942211,POINT(-71.05999660942211 42.356928032902985),222
104,42.35632057196801,-71.05917460629331,POINT(-71.05917460629331 42.35632057196801),222
105,42.35628338561069,-71.06132111984934,POINT(-71.06132111984934 42.35628338561069),165
106,42.35384590974459,-71.0571094934681,POINT(-71.0571094934681 42.35384590974459),344
107,42.35594027802821,-71.05721936422532,POINT(-71.05721936422532 42.35594027802821),222
108,42.35484833819839,-71.0551263509921,POINT(-71.0551263509921 42.35484833819839),344
11,42.389630310174205,-71.01580069693392,POINT(-71.01580069693392 42.389630310174205),126
110,42.35543149571421,-71.0527768114837,POINT(-71.0527768114837 42.35543149571421),268
111,42.35385903806459,-71.06302447617473,POINT(-71.06302447617473 42.35385903806459),363
112,42.35398615874123,-71.06132186936821,POINT(-71.06132186936821 42.35398615874123),363
113,42.35350251084639,-71.05894581502638,POINT(-71.05894581502638 42.35350251084639),344
114,42.35381792945395,-71.05272170810368,POINT(-71.05272170810368 42.35381792945395),268
115,42.35116642898728,-71.05899925942613,POINT(-71.05899925942613 42.35116642898728),23
116,42.35136136394572,-71.060228972143,POINT(-71.060228972143 42.35136136394572),23
117,42.35085211135758,-71.06381178482462,POINT(-71.06381178482462 42.35085211135758),207
118,42.35158016787038,-71.06628162356036,POINT(-71.06628162356036 42.35158016787038),312
119,42.35532060832475,-71.06347754197775,POINT(-71.06347754197775 42.35532060832475),363
12,42.38628534764983,-71.01264468848458,POINT(-71.01264468848458 42.38628534764983),313
120,42.351914606212134,-71.06875496554592,POINT(-71.06875496554592 42.351914606212134),312
121,42.35025890354872,-71.06570513235432,POINT(-71.06570513235432 42.35025890354872),207
122,42.34875899438042,-71.06568969821298,POINT(-71.06568969821298 42.34875899438042),207
123,42.34923615283305,-71.06467225084411,POINT(-71.06467225084411 42.34923615283305),207
124,42.34938743689399,-71.06113892507575,POINT(-71.06113892507575 42.34938743689399),23
125,42.35005967211174,-71.0686469264183,POINT(-71.0686469264183 42.35005967211174),84
126,42.34853756218179,-71.06794284736364,POINT(-71.06794284736364 42.34853756218179),84
127,42.34856672144022,-71.06526428448376,POINT(-71.06526428448376 42.34856672144022),207
128,42.348762306670864,-71.07177129276539,POINT(-71.07177129276539 42.348762306670864),374
129,42.35043058327906,-71.0749986293508,POINT(-71.0749986293508 42.35043058327906),328
13,42.381860316901424,-71.01277354112675,POINT(-71.01277354112675 42.381860316901424),205
130,42.34888689528768,-71.07734530844552,POINT(-71.07734530844552 42.34888689528768),22
131,42.35435333895661,-71.07590095950239,POINT(-71.07590095950239 42.35435333895661),82
132,42.35332717375432,-71.0755008430035,POINT(-71.0755008430035 42.35332717375432),82
133,42.35194954349681,-71.07477366166877,POINT(-71.07477366166877 42.35194954349681),328
134,42.350917066747115,-71.07523336550148,POINT(-71.07523336550148 42.350917066747115),328
135,42.35255127096238,-71.08217431755872,POINT(-71.08217431755872 42.35255127096238),301
136,42.351439488702276,-71.08209570793879,POINT(-71.08209570793879 42.351439488702276),301
137,42.348565820839944,-71.0815880212924,POINT(-71.0815880212924 42.348565820839944),180
138,42.34954522738805,-71.08070615665636,POINT(-71.08070615665636 42.34954522738805),180
139,42.351113975848506,-71.08752371290913,POINT(-71.08752371290913 42.351113975848506),416
14,42.38097820104166,-71.02006177702383,POINT(-71.02006177702383 42.38097820104166),60
140,42.350159335833425,-71.08681877322223,POINT(-71.08681877322223 42.350159335833425),416
141,42.348742768552476,-71.08715833135909,POINT(-71.08715833135909 42.348742768552476),157
142,42.34843974890501,-71.08603294436512,POINT(-71.08603294436512 42.34843974890501),157
143,42.34808083155842,-71.08218135539035,POINT(-71.08218135539035 42.34808083155842),180
144,42.34540785002137,-71.08542124339068,POINT(-71.08542124339068 42.34540785002137),348
145,42.34366878861835,-71.0833239983271,POINT(-71.0833239983271 42.34366878861835),91
146,42.346411043939916,-71.07931337260464,POINT(-71.07931337260464 42.346411043939916),438
147,42.33419138920315,-71.07997426807201,POINT(-71.07997426807201 42.33419138920315),64
148,42.34274096138208,-71.0798225195935,POINT(-71.0798225195935 42.34274096138208),210
149,42.345885314433495,-71.07645238480427,POINT(-71.07645238480427 42.345885314433495),163
15,42.381503937571054,-71.0221839659431,POINT(-71.0221839659431 42.381503937571054),60
150,42.34522239842795,-71.07480582722698,POINT(-71.07480582722698 42.34522239842795),163
151,42.34577581986686,-71.07128668297352,POINT(-71.07128668297352 42.34577581986686),472
152,42.344268696603386,-71.07218742209032,POINT(-71.07218742209032 42.344268696603386),306
153,42.34441850392186,-71.07395632568786,POINT(-71.07395632568786 42.34441850392186),163
154,42.3417173115209,-71.07818674106466,POINT(-71.07818674106466 42.3417173115209),210
155,42.3405168764525,-71.07988786399116,POINT(-71.07988786399116 42.3405168764525),210
156,42.33870535566868,-71.07833295271357,POINT(-71.07833295271357 42.33870535566868),210
157,42.34056151753677,-71.07574946892964,POINT(-71.07574946892964 42.34056151753677),422
158,42.34171083594163,-71.07379358045446,POINT(-71.07379358045446 42.34171083594163),306
159,42.34270746333333,-71.07219383900987,POINT(-71.07219383900987 42.34270746333333),306
16,42.3819470238143,-71.02906179664924,POINT(-71.02906179664924 42.3819470238143),375
160,42.34405770645425,-71.06967336999988,POINT(-71.06967336999988 42.34405770645425),45
161,42.34651044851928,-71.06842522810942,POINT(-71.06842522810942 42.34651044851928),84
162,42.344936841989636,-71.06403528634178,POINT(-71.06403528634178 42.344936841989636),357
163,42.34296813397188,-71.06809462121494,POINT(-71.06809462121494 42.34296813397188),45
164,42.34263479352492,-71.06659006684995,POINT(-71.06659006684995 42.34263479352492),394
165,42.34234557714145,-71.06568982390232,POINT(-71.06568982390232 42.34234557714145),394
166,42.34126133407697,-71.07065475148113,POINT(-71.07065475148113 42.34126133407697),121
167,42.32190597106297,-71.04667909827116,POINT(-71.04667909827116 42.32190597106297),100
168,42.33825792536776,-71.07363239735304,POINT(-71.07363239735304 42.33825792536776),247
169,42.33696447458343,-71.0706807944444,POINT(-71.0706807944444 42.33696447458343),247
17,42.379912432188895,-71.02833487674624,POINT(-71.02833487674624 42.379912432188895),98
170,42.33602506629952,-71.07595353877036,POINT(-71.07595353877036 42.33602506629952),13
171,42.33643197901495,-71.07238195212372,POINT(-71.07238195212372 42.33643197901495),247
172,42.33511643523757,-71.07050734930257,POINT(-71.07050734930257 42.33511643523757),247
173,42.35015564377765,-71.0564131836667,POINT(-71.0564131836667 42.35015564377765),324
174,42.33293378594979,-71.05915317294978,POINT(-71.05915317294978 42.33293378594979),396
175,42.329078709283934,-71.0702793203325,POINT(-71.0702793203325 42.329078709283934),319
176,42.3300139754592,-71.06616014076532,POINT(-71.06616014076532 42.3300139754592),132
177,42.340481466292125,-71.06637948163176,POINT(-71.06637948163176 42.340481466292125),394
178,42.33054730832459,-71.07039291291666,POINT(-71.07039291291666 42.33054730832459),319
179,42.33600140332568,-71.07436292468688,POINT(-71.07436292468688 42.33600140332568),13
18,42.37837423607841,-71.02780669000005,POINT(-71.02780669000005 42.37837423607841),98
180,42.32660857861094,-71.0742870005926,POINT(-71.0742870005926 42.32660857861094),476
181,42.32492371851027,-71.07152435745874,POINT(-71.07152435745874 42.32492371851027),31
182,42.32293171275934,-71.07003847447089,POINT(-71.07003847447089 42.32293171275934),31
183,42.32077641902836,-71.07093582761105,POINT(-71.07093582761105 42.32077641902836),173
184,42.32286276755167,-71.07257374356966,POINT(-71.07257374356966 42.32286276755167),391
185,42.322528026846115,-71.06314285300006,POINT(-71.06314285300006 42.322528026846115),339
186,42.32630326867385,-71.06260523979988,POINT(-71.06260523979988 42.32630326867385),204
187,42.32477351458435,-71.05830125558182,POINT(-71.05830125558182 42.32477351458435),415
188,42.32190641895045,-71.05971822673467,POINT(-71.05971822673467 42.32190641895045),77
189,42.32295304673643,-71.05634963807542,POINT(-71.05634963807542 42.32295304673643),167
19,42.3782110740084,-71.03192609483136,POINT(-71.03192609483136 42.3782110740084),234
190,42.32280731833333,-71.05221125999999,POINT(-71.05221125999999 42.32280731833333),341
191,42.32890399205767,-71.05736156650208,POINT(-71.05736156650208 42.32890399205767),201
192,42.32897256528237,-71.05516558355478,POINT(-71.05516558355478 42.32897256528237),482
193,42.33015052108306,-71.05442344213009,POINT(-71.05442344213009 42.33015052108306),482
194,42.330785186860936,-71.05645365683883,POINT(-71.05645365683883 42.330785186860936),201
195,42.332980140044455,-71.0551550933779,POINT(-71.0551550933779 42.332980140044455),181
196,42.33629832439659,-71.05627097456906,POINT(-71.05627097456906 42.33629832439659),75
197,42.33628263171054,-71.05520434296047,POINT(-71.05520434296047 42.33628263171054),75
199,42.340310151523845,-71.05615624901588,POINT(-71.05615624901588 42.340310151523845),243
2,42.39206570511111,-71.00371850884451,POINT(-71.00371850884451 42.39206570511111),296
20,42.37707271835417,-71.03102138635418,POINT(-71.03102138635418 42.37707271835417),234
200,42.34147590932936,-71.05493220476514,POINT(-71.05493220476514 42.34147590932936),243
201,42.340195715590404,-71.0521755795801,POINT(-71.0521755795801 42.340195715590404),2
202,42.34122228239584,-71.05045856640625,POINT(-71.05045856640625 42.34122228239584),2
203,42.346634799637975,-71.04417470199091,POINT(-71.04417470199091 42.346634799637975),107
204,42.344992084592576,-71.05282683948141,POINT(-71.05282683948141 42.344992084592576),347
205,42.34898863829158,-71.05013557779164,POINT(-71.05013557779164 42.34898863829158),362
206,42.35199097487503,-71.04774038327467,POINT(-71.04774038327467 42.35199097487503),136
208,42.33835633631579,-71.03208680073683,POINT(-71.03208680073683 42.33835633631579),174
209,42.34000784705886,-71.0393641698395,POINT(-71.0393641698395 42.34000784705886),189
21,42.374572920398364,-71.03368929034153,POINT(-71.03368929034153 42.374572920398364),16
210,42.34412962182851,-71.0444745939429,POINT(-71.0444745939429 42.34412962182851),107
211,42.33919967610837,-71.05019061578828,POINT(-71.05019061578828 42.33919967610837),2
213,42.336976502867884,-71.04702176787734,POINT(-71.04702176787734 42.336976502867884),140
214,42.33638022353413,-71.04890563226951,POINT(-71.04890563226951 42.33638022353413),140
215,42.335427697565585,-71.05149535348318,POINT(-71.05149535348318 42.335427697565585),410
216,42.33345096806153,-71.05407602393858,POINT(-71.05407602393858 42.33345096806153),181
217,42.3323995783333,-71.04969699500003,POINT(-71.04969699500003 42.3323995783333),238
218,42.32890929,-71.05260009,POINT(-71.05260009 42.32890929),35
219,42.330180183112155,-71.04736370938228,POINT(-71.04736370938228 42.330180183112155),387
22,42.37545196682828,-71.03607339604851,POINT(-71.03607339604851 42.37545196682828),334
220,42.33404139461419,-71.04627538922847,POINT(-71.04627538922847 42.33404139461419),466
221,42.335617908242774,-71.04267537178904,POINT(-71.04267537178904 42.335617908242774),231
223,42.33689603021168,-71.0306688403704,POINT(-71.0306688403704 42.33689603021168),174
224,42.337020703675925,-71.02755244620565,POINT(-71.02755244620565 42.337020703675925),253
225,42.33502967721413,-71.04241420979469,POINT(-71.04241420979469 42.33502967721413),231
226,42.3349976758364,-71.03691443929382,POINT(-71.03691443929382 42.3349976758364),158
227,42.334785750060654,-71.03151923860612,POINT(-71.03151923860612 42.334785750060654),38
228,42.33485804107473,-71.02713937757015,POINT(-71.02713937757015 42.33485804107473),253
229,42.33762126819044,-71.04731085101598,POINT(-71.04731085101598 42.33762126819044),140
23,42.37666880583341,-71.03677254001158,POINT(-71.03677254001158 42.37666880583341),334
230,42.33306285354739,-71.03657665611621,POINT(-71.03657665611621 42.33306285354739),158
231,42.332677399861915,-71.03149543419897,POINT(-71.03149543419897 42.332677399861915),38
232,42.333156406926825,-71.0275010003902,POINT(-71.0275010003902 42.333156406926825),253
233,42.33125509358596,-71.04222485941686,POINT(-71.04222485941686 42.33125509358596),27
234,42.33106591130823,-71.0364390642796,POINT(-71.0364390642796 42.33106591130823),158
235,42.3201407749812,-71.05552999398878,POINT(-71.05552999398878 42.3201407749812),215
236,42.31990808410254,-71.05866467871796,POINT(-71.05866467871796 42.31990808410254),77
237,42.319930795871706,-71.06367149289905,POINT(-71.06367149289905 42.319930795871706),339
238,42.31860995579735,-71.06637478275861,POINT(-71.06637478275861 42.31860995579735),79
239,42.3175625152894,-71.06516523556259,POINT(-71.06516523556259 42.3175625152894),79
24,42.37912061710901,-71.03775978696952,POINT(-71.03775978696952 42.37912061710901),89
240,42.319054500497224,-71.06170146420959,POINT(-71.06170146420959 42.319054500497224),185
241,42.31732221480002,-71.06301442646662,POINT(-71.06301442646662 42.31732221480002),185
242,42.3165668151501,-71.06190345025004,POINT(-71.06190345025004 42.3165668151501),185
243,42.316070616346856,-71.0605358558303,POINT(-71.0605358558303 42.316070616346856),185
244,42.31727451420075,-71.05798831721319,POINT(-71.05798831721319 42.31727451420075),77
245,42.317697369392654,-71.05444325978303,POINT(-71.05444325978303 42.317697369392654),215
246,42.31587446189912,-71.0546187737092,POINT(-71.0546187737092 42.31587446189912),215
247,42.31405066547619,-71.05797248505507,POINT(-71.05797248505507 42.31405066547619),10
248,42.31420194034374,-71.05717883494839,POINT(-71.05717883494839 42.31420194034374),10
249,42.313429678674275,-71.05398644577532,POINT(-71.05398644577532 42.313429678674275),337
25,42.38177296518803,-71.03658582321656,POINT(-71.03658582321656 42.38177296518803),473
250,42.312049759068344,-71.04998583055907,POINT(-71.04998583055907 42.312049759068344),72
251,42.31028383375,-71.05063738553572,POINT(-71.05063738553572 42.31028383375),494
252,42.30946254485875,-71.05012385508475,POINT(-71.05012385508475 42.30946254485875),494
253,42.301613908541675,-71.05343714287493,POINT(-71.05343714287493 42.301613908541675),390
254,42.309990533980994,-71.0569954312358,POINT(-71.0569954312358 42.309990533980994),281
255,42.31101113428272,-71.05828191249009,POINT(-71.05828191249009 42.31101113428272),281
256,42.31784710957603,-71.04520283766627,POINT(-71.04520283766627 42.31784710957603),369
257,42.318201489617834,-71.06590098358268,POINT(-71.06590098358268 42.318201489617834),79
258,42.31666218894569,-71.06760319586877,POINT(-71.06760319586877 42.31666218894569),79
259,42.31384725640606,-71.07248650422723,POINT(-71.07248650422723 42.31384725640606),36
26,42.377461072593846,-71.03989797595145,POINT(-71.03989797595145 42.377461072593846),89
260,42.31821083327199,-71.07181504294469,POINT(-71.07181504294469 42.31821083327199),173
261,42.320130143487894,-71.07325814016693,POINT(-71.07325814016693 42.320130143487894),173
262,42.32213188291455,-71.07435995111703,POINT(-71.07435995111703 42.32213188291455),391
263,42.323186177386305,-71.07485620905304,POINT(-71.07485620905304 42.323186177386305),391
264,42.31949752127466,-71.07659123934039,POINT(-71.07659123934039 42.31949752127466),280
265,42.321595898525175,-71.07892264817777,POINT(-71.07892264817777 42.321595898525175),123
266,42.32683661093895,-71.0823343066392,POINT(-71.0823343066392 42.32683661093895),177
267,42.32655807156618,-71.07731499271071,POINT(-71.07731499271071 42.32655807156618),266
268,42.328824432080225,-71.07735576233992,POINT(-71.07735576233992 42.328824432080225),266
269,42.330716703493984,-71.07544995614455,POINT(-71.07544995614455 42.330716703493984),379
27,42.36970392332372,-71.04097247462758,POINT(-71.04097247462758 42.36970392332372),76
270,42.33373726161942,-71.07587065582577,POINT(-71.07587065582577 42.33373726161942),184
271,42.33480318020738,-71.07688511312202,POINT(-71.07688511312202 42.33480318020738),184
272,42.334345280491014,-71.07820154870545,POINT(-71.07820154870545 42.334345280491014),184
273,42.33719650500664,-71.0793432063421,POINT(-71.0793432063421 42.33719650500664),137
274,42.33844420280216,-71.08311794747257,POINT(-71.08311794747257 42.33844420280216),187
275,42.3345789509629,-71.08220121111123,POINT(-71.08220121111123 42.3345789509629),276
276,42.33204503658589,-71.08058096635393,POINT(-71.08058096635393 42.33204503658589),64
277,42.33179570636363,-71.0810308331818,POINT(-71.0810308331818 42.33179570636363),64
278,42.33396774743083,-71.07733674917004,POINT(-71.07733674917004 42.33396774743083),184
279,42.32875854200294,-71.08119208739586,POINT(-71.08119208739586 42.32875854200294),177
28,42.3716936293252,-71.03882087742286,POINT(-71.03882087742286 42.3716936293252),206
280,42.32938742240729,-71.08347677933364,POINT(-71.08347677933364 42.32938742240729),338
281,42.33087850150952,-71.08152209983635,POINT(-71.08152209983635 42.33087850150952),64
282,42.33162881579312,-71.08251140960753,POINT(-71.08251140960753 42.33162881579312),338
283,42.34041040942098,-71.08834695932457,POINT(-71.08834695932457 42.34041040942098),227
284,42.33670643805196,-71.08306113885722,POINT(-71.08306113885722 42.33670643805196),276
285,42.33655611950474,-71.08488693900915,POINT(-71.08488693900915 42.33655611950474),276
286,42.334339554444476,-71.0863063478731,POINT(-71.0863063478731 42.334339554444476),124
287,42.33105265971733,-71.08386678113024,POINT(-71.08386678113024 42.33105265971733),338
288,42.329748964333334,-71.08565533383575,POINT(-71.08565533383575 42.329748964333334),338
289,42.32770929787361,-71.08815705811375,POINT(-71.08815705811375 42.32770929787361),47
29,42.37002230956568,-71.03800146386538,POINT(-71.03800146386538 42.37002230956568),206
290,42.330799910310496,-71.0923862598448,POINT(-71.0923862598448 42.330799910310496),168
291,42.32920660475282,-71.09378481982628,POINT(-71.09378481982628 42.32920660475282),168
292,42.328756246699385,-71.08786206928106,POINT(-71.08786206928106 42.328756246699385),47
293,42.32612491594827,-71.0901497338148,POINT(-71.0901497338148 42.32612491594827),489
294,42.32550017282166,-71.08622744207653,POINT(-71.08622744207653 42.32550017282166),152
295,42.324684530312545,-71.08437421446426,POINT(-71.08437421446426 42.324684530312545),355
